"","Time","COAST","EAST","FAR_WEST","NORTH","NORTH_C","SOUTHERN","SOUTH_C","WEST","ERCOT","KHOU","KHOU_squared","orig.id"
"10238",2011-03-03 18:00:00,9504.33670164334,1164.11479928627,1353.95828636436,673.475497440196,10478.2725874946,2807.38460145428,5222.0840070828,950.853029234123,32154.47951,73.562,5411.367844,"10238"
"42251",2014-10-28 02:00:00,8632.82778420371,1109.77393937681,1790.03763521057,663.02646686573,9684.643521903,2386.07317710763,4735.40023874988,882.982319582661,29884.765083,69.962,4894.681444,"42251"
"21910",2012-07-02 11:00:00,13568.0966533076,1631.59734543105,1597.38123463196,1031.74048032827,15565.7106742708,3775.19792196007,7549.54312083643,1202.45955523382,45921.726986,77.1619999999999,5953.97424399999,"21910"
"55316",2016-04-24 14:00:00,10568.248269034,1234.269223125,2091.38832569763,706.775952661035,11336.5579584868,3372.50633225306,5737.21375798515,992.474405713397,36039.4342249561,74.012,5477.776144,"55316"
"31818",2013-08-19 07:00:00,10511.3007681584,1272.80341945077,1606.39578742571,756.561659737728,11532.1871438341,2785.84367065218,5852.49961264326,973.959946097875,35291.552008,75.362,5679.431044,"31818"
"51470",2015-11-16 08:00:00,9919.21610322293,1259.56620975569,2011.12613693989,715.249715967285,10793.6865709468,2748.19985718827,5387.35740515427,941.155463785584,33775.5574629607,66.812,4463.843344,"51470"
"21904",2012-07-02 05:00:00,9404.61131242881,1115.51250354318,1393.48711085815,751.437102722281,11256.2623696938,2692.86635823057,5226.00711789664,920.365958626574,32760.549834,77.1619999999999,5953.97424399999,"21904"
"33770",2013-11-08 15:00:00,9332.21566664098,1169.85519116651,1709.78270345432,725.153304289879,10627.1758033879,2528.29148078686,5073.0039511461,965.623219127461,32131.10132,60.962,3716.365444,"33770"
"37820",2014-04-26 11:00:00,10347.8717308148,1218.55174750287,1915.09336243455,737.631235681897,10952.3043539533,3112.19196293575,5615.20471056909,1050.11975510781,34948.968859,69.962,4894.681444,"37820"
"39064",2014-06-17 07:00:00,12154.0051406347,1394.00259814897,1856.13363945233,834.015917025704,12833.7767409718,3222.26076480398,6415.29020508633,1063.02530087618,39772.510307,80.762,6522.500644,"39064"
